sub_feature,mean_abs_shap,gain,direction
Vincent RA - Task submission,0.681,94.1,1.0
Text Editor Opened,0.386,26.1,1.0
Work - Work Opened,0.29,20.2,1.0
Vincent RA - Document upload,0.273,16.3,1.0
Vincent RA - New Conversation Started,0.245,27.9,1.0
