sub_feature_a,sub_feature_b,mean_abs_interaction
Work - Work Opened (Excludes App Switcher),Matter - AI Action Generated,0.008187727071344852
Vincent RA - New Conversation Started,Vincent RA - Document upload,0.007529259193688631
Text Editor Opened,Manage - Document Analyzed in Vincent,0.007515126373618841
Text Editor Updated,Work - Work Opened,0.007475432939827442
Vincent RA - Legal Authorities Tab Viewed,Workflow: others,0.007465029135346413
Workflow: default,Work - Work Opened,0.0071158274076879025
Vincent RA - Recent Conversation Opened,Workflow: others,0.007080031558871269
Workflow: default,Vincent RA - Jurisdiction Selected,0.006776951253414154
Workflow: others,Vincent RA - Jurisdiction Selected,0.00674542086198926
Text Editor Updated,Vincent RA - New Conversation Started,0.00672742398455739
Vincent RA - Query Classification,Vincent RA - Document upload,0.006671610753983259
Vincent RA - Task submission,Matter - AI Action Viewed,0.006456900388002396
Vincent RA - Query Classification,Vincent RA - Jurisdiction Selected,0.006328670773655176
Work - Work Opened (Excludes App Switcher),Vincent RA - Document upload,0.00604193564504385
Manage - Recent Work Conversation Opened,Vincent RA - New Conversation Started,0.006002907641232014
Manage - Recent Work Conversation Opened,Work - Work Opened,0.005997711326926947
Manage - Recent Work Conversation Opened,Manage - Document Analyzed in Vincent,0.005983594339340925
Vincent RA - Document upload,Workflow: others,0.005892061162739992
Vincent RA - Query Classification,Work - Work Opened,0.005760755855590105
Task: free_form_message,Matter - AI Action Generated,0.005754938814789057
Vincent RA - Document upload,Manage - Document Analyzed in Vincent,0.005679858848452568
Text Editor Updated,Vincent RA - Query Classification,0.005476069636642933
Matter - AI Action Viewed,Task: free_form_message,0.005458415485918522
Vincent RA - New Conversation Started,Task: free_form_message,0.005327101796865463
Vincent RA - Legal Authorities Tab Viewed,Task: free_form_message,0.004918853752315044
Manage - Recent Work Conversation Opened,Workflow: default,0.004592766985297203
Work - Work Opened,Workflow: others,0.004586764145642519
Work - Work Opened (Excludes App Switcher),Workflow: default,0.004570119082927704
Work - Work Opened,Task: free_form_message,0.004492976702749729
Work - Work Opened (Excludes App Switcher),Workflow: others,0.004476431291550398
Manage - Recent Work Conversation Opened,Workflow: others,0.004291309975087643
Vincent RA - Legal Authorities Tab Viewed,Manage - Document Analyzed in Vincent,0.0041220709681510925
Manage - Recent Work Conversation Opened,Matter - AI Action Generated,0.004080058541148901
Text Editor Opened,Workflow: others,0.003955999854952097
Vincent RA - Recent Conversation Opened,Task: free_form_message,0.0038873625453561544
Vincent RA - New Conversation Started,Vincent RA - Query Classification,0.0038497860077768564
Work - Work Opened (Excludes App Switcher),Vincent RA - Jurisdiction Selected,0.0037419672589749098
Vincent RA - Document upload,Task: free_form_message,0.003622959600761533
Vincent RA - Query Classification,Matter - AI Action Generated,0.0036079513374716043
Workflow: default,Vincent RA - Document upload,0.003568507730960846
Text Editor Opened,Vincent RA - Query Classification,0.0033271813299506903
Work - Work Opened (Excludes App Switcher),Vincent RA - Query Classification,0.003105929121375084
Vincent RA - Task submission,Work - Work Opened,0.003033508313819766
Vincent RA - Task submission,Workflow: default,0.0028849949594587088
