sub_feature,mean_abs_shap,gain,direction
Vincent RA - Recent Conversation Opened,0.419,319.9,1.0
Text Editor Opened,0.312,343.5,1.0
Text Editor Updated,0.285,280.0,1.0
Vincent RA - Document upload,0.211,83.5,1.0
Matter - AI Action Viewed,0.147,46.6,-1.0
Vincent RA - Legal Authorities Tab Viewed,0.127,68.5,1.0
Vincent RA - New Conversation Started,0.118,251.1,1.0
Workflow: others,0.111,81.1,1.0
Manage - Recent Work Conversation Opened,0.102,99.2,1.0
Task: free_form_message,0.083,85.0,1.0
